TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT
task,6~10,,,,,,6/11,,,,
task,11~15,,,,,,6/12,,,,
task,16~20,,,,,,6/13,,,,
task,21~26,,,,,,6/14,,,,
task,27~30,,,,,,6/15,,,,
task,31~34,,,,,,6/16,,,,
task,35~38,,,,,,6/17,,,,
task,39~42,,,,,,6/18,,,,
,,,,,,,,,,,
section,Psalms,,,,,,,,,,
task,1~9,,,,,,6/19,,,,
task,10~18,,,,,,6/20,,,,
task,19~25,,,,,,6/21,,,,
task,26~33,,,,,,6/22,,,,
task,34~37,,,,,,6/23,,,,
task,38~44,,,,,,6/24,,,,
task,45~51,,,,,,6/25,,,,
task,52~60,,,,,,6/26,,,,
task,61~68,,,,,,6/27,,,,
task,69~73,,,,,,6/28,,,,
task,74~78,,,,,,6/29,,,,
task,79~86,,,,,,6/30,,,,
task,87~91,,,,,,7/1,,,,
task,92~101,,,,,,7/2,,,,
task,102~105,,,,,,7/3,,,,
task,106~109,,,,,,7/4,,,,
task,110~118,,,,,,7/5,,,,
task,119,,,,,,7/6,,,,
task,120~134,,,,,,7/7,,,,
task,135~141,,,,,,7/8,,,,
task,142~150,,,,,,7/9,,,,
,,,,,,,,,,,
section,Proverbs,,,,,,,,,,
task,1~5,,,,,,7/10,,,,
task,6~10,,,,,,7/11,,,,
task,11~14,,,,,,7/12,,,,
task,15~18,,,,,,7/13,,,,
task,19~22,,,,,,7/14,,,,
task,23~27,,,,,,7/15,,,,
task,28~31,,,,,,7/16,,,,
,,,,,,,,,,,
section,Ecclesiastes,,,,,,,,,,
task,1~4,,,,,,7/17,,,,
task,5~8,,,,,,7/18,,,,
task,9~12,,,,,,7/19,,,,
,,,,,,,,,,,
section,Song of Songs,,,,,,,,,,
task,1~8,,,,,,7/20,,,,
,,,,,,,,,,,
section,Isaiah,,,,,,,,,,
task,1~4,,,,,,7/21,,,,
task,5~8,,,,,,7/22,,,,
task,9~12,,,,,,7/23,,,,
task,13~16,,,,,,7/24,,,,
task,17~22,,,,,,7/25,,,,
task,23~27,,,,,,7/26,,,,
task,28~30,,,,,,7/27,,,,
task,31~35,,,,,,7/28,,,,
task,36~38,,,,,,7/29,,,,
task,39~42,,,,,,7/30,,,,
task,43~45,,,,,,7/31,,,,
task,46~49,,,,,,8/1,,,,
task,50~53,,,,,,8/2,,,,
task,54~59,,,,,,8/3,,,,
task,60~62,,,,,,8/4,,,,
task,63~66,,,,,,8/5,,,,
,,,,,,,,,,,
section,Jeremiah,,,,,,,,,,
task,1~3,,,,,,8/6,,,,
task,4~6,,,,,,8/7,,,,
task,7~9,,,,,,8/8,,,,
task,10~12,,,,,,8/9,,,,
task,13~15,,,,,,8/10,,,,
task,16~18,,,,,,8/11,,,,
task,19~22,,,,,,8/12,,,,
task,23~25,,,,,,8/13,,,,
task,26~28,,,,,,8/14,,,,
task,29~30,,,,,,8/15,,,,
task,31~32,,,,,,8/16,,,,
task,33~35,,,,,,8/17,,,,
task,36~38,,,,,,8/18,,,,
task,39~41,,,,,,8/19,,,,
task,42~44,,,,,,8/20,,,,
task,45~48,,,,,,8/21,,,,
task,49~50,,,,,,8/22,,,,
task,51,,,,,,8/23,,,,
task,52,,,,,,8/24,,,,
,,,,,,,,,,,
section,Lamentations,,,,,,,,,,
task,1~2,,,,,,8/25,,,,
task,3~5,,,,,,8/26,,,,
,,,,,,,,,,,
section,Ezekiel,,,,,,,,,,
task,1~3,,,,,,8/27,,,,
task,4~7,,,,,,8/28,,,,
task,8~11,,,,,,8/29,,,,
task,12~14,,,,,,8/30,,,,
task,15~16,,,,,,8/31,,,,
task,17~19,,,,,,9/1,,,,
task,20~21,,,,,,9/2,,,,
task,22~23,,,,,,9/3,,,,
task,24~26,,,,,,9/4,,,,
task,27~29,,,,,,9/5,,,,
task,30~32,,,,,,9/6,,,,
task,33~35,,,,,,9/7,,,,
task,36~38,,,,,,9/8,,,,
task,39~40,,,,,,9/9,,,,
task,41~43,,,,,,9/10,,,,
task,44~45,,,,,,9/11,,,,
task,46~48,,,,,,9/12,,,,
,,,,,,,,,,,
section,Daniel,,,,,,,,,,
task,1~2,,,,,,9/13,,,,
task,3~4,,,,,,9/14,,,,
task,5~6,,,,,,9/15,,,,
task,7~9,,,,,,9/16,,,,
task,10~12,,,,,,9/17,,,,
,,,,,,,,,,,
section,Hosea,,,,,,,,,,
task,1~7,,,,,,9/18,,,,
task,8~14,,,,,,9/19,,,,
,,,,,,,,,,,
section,Joel,,,,,,,,,,
task,1~3,,,,,,9/20,,,,
,,,,,,,,,,,
section,Amos,,,,,,,,,,
task,1~5,,,,,,9/21,,,,
task,6~9,,,,,,9/22,,,,
,,,,,,,,,,,
section,Obadiah,,,,,,,,,,
task,1,,,,,,9/23,,,,
,,,,,,,,,,,
section,Jonah,,,,,,,,,,
task,1~4,,,,,,9/23,,,,
,,,,,,,,,,,
section,Micah,,,,,,,,,,
task,1~7,,,,,,9/24,,,,
,,,,,,,,,,,
section,Nahum,,,,,,,,,,
task,1~3,,,,,,9/25,,,,
,,,,,,,,,,,
section,Habakkuk,,,,,,,,,,
task,1~3,,,,,,9/25,,,,
,,,,,,,,,,,
section,Zephaniah,,,,,,,,,,
task,1~3,,,,,,9/26,,,,
,,,,,,,,,,,
section,Haggai,,,,,,,,,,
task,1~2,,,,,,9/26,,,,
,,,,,,,,,,,
section,Zechariah,,,,,,,,,,
task,1~5,,,,,,9/27,,,,
task,6~10,,,,,,9/28,,,,
task,11~14,,,,,,9/29,,,,
,,,,,,,,,,,
section,Malachi,,,,,,,,,,
task,1~4,,,,,,9/30,,,,
,,,,,,,,,,,
section,Matthew,,,,,,,,,,
task,1~4,,,,,,10/1,,,,
task,5~6,,,,,,10/2,,,,
task,7~9,,,,,,10/3,,,,
task,10~11,,,,,,10/4,,,,
task,12~13,,,,,,10/5,,,,
task,14~15,,,,,,10/6,,,,
task,16~18,,,,,,10/7,,,,
task,19~21,,,,,,10/8,,,,
task,22~23,,,,,,10/9,,,,
task,24~25,,,,,,10/10,,,,
task,26,,,,,,10/11,,,,
task,27~28,,,,,,10/12,,,,
,,,,,,,,,,,
section,Mark,,,,,,,,,,
task,1~3,,,,,,10/13,,,,
task,4~5,,,,,,10/14,,,,
task,6~7,,,,,,10/15,,,,
task,8~9,,,,,,10/16,,,,
task,10~11,,,,,,10/17,,,,
task,12~13,,,,,,10/18,,,,
task,14~16,,,,,,10/19,,,,
,,,,,,,,,,,
section,Luke,,,,,,,,,,
task,1,,,,,,10/20,,,,
task,2~3,,,,,,10/21,,,,
task,4~5,,,,,,10/22,,,,
task,6~7,,,,,,10/23,,,,
task,8,,,,,,10/24,,,,
task,9~10,,,,,,10/25,,,,
task,11~12,,,,,,10/26,,,,
task,13~14,,,,,,10/27,,,,
task,15~16,,,,,,10/28,,,,
task,17~18,,,,,,10/29,,,,
task,19~20,,,,,,10/30,,,,
task,21~22,,,,,,10/31,,,,
task,23~24,,,,,,11/1,,,,
,,,,,,,,,,,
section,John,,,,,,,,,,
task,1~3,,,,,,11/2,,,,
task,4~5,,,,,,11/3,,,,
task,6~7,,,,,,11/4,,,,
task,8~9,,,,,,11/5,,,,
task,10~11,,,,,,11/6,,,,
task,12~13,,,,,,11/7,,,,
task,14~16,,,,,,11/8,,,,
task,17~18,,,,,,11/9,,,,
task,19~21,,,,,,11/10,,,,
,,,,,,,,,,,
section,Acts,,,,,,,,,,
task,1~2,,,,,,11/11,,,,
task,3~5,,,,,,11/12,,,,
task,6~7,,,,,,11/13,,,,
task,8~9,,,,,,11/14,,,,
task,10~12,,,,,,11/15,,,,
task,13~14,,,,,,11/16,,,,
task,15~16,,,,,,11/17,,,,
task,17~19,,,,,,11/18,,,,
task,20~21,,,,,,11/19,,,,
task,22~23,,,,,,11/20,,,,
task,24~26,,,,,,11/21,,,,
task,27~28,,,,,,11/22,,,,
,,,,,,,,,,,
section,Romans,,,,,,,,,,
task,1~3,,,,,,11/23,,,,
task,4~7,,,,,,11/24,,,,
task,8~9,,,,,,11/25,,,,
task,10~13,,,,,,11/26,,,,
task,14~16,,,,,,11/27,,,,
,,,,,,,,,,,
section,1 Corinthians,,,,,,,,,,
task,1~4,,,,,,11/28,,,,
task,5~8,,,,,,11/29,,,,
task,9~11,,,,,,11/30,,,,
task,12~14,,,,,,12/1,,,,
task,15~16,,,,,,12/2,,,,
,,,,,,,,,,,
section,2 Corinthians,,,,,,,,,,
task,1~4,,,,,,12/3,,,,
task,5~9,,,,,,12/4,,,,
task,10~13,,,,,,12/5,,,,
,,,,,,,,,,,
section,Galatians,,,,,,,,,,
task,1~3,,,,,,12/6,,,,
task,4~6,,,,,,12/7,,,,
,,,,,,,,,,,
section,Ephesians,,,,,,,,,,
task,1~3,,,,,,12/8,,,,
task,4~6,,,,,,12/9,,,,
,,,,,,,,,,,
section,Philippians,,,,,,,,,,
task,1~4,,,,,,12/10,,,,
,,,,,,,,,,,
section,Colossians,,,,,,,,,,
task,1~4,,,,,,12/11,,,,
,,,,,,,,,,,
section,1 Thessalonians,,,,,,,,,,
task,1~5,,,,,,12/12,,,,
,,,,,,,,,,,
section,2 Thessalonians,,,,,,,,,,
task,1~3,,,,,,12/13,,,,
,,,,,,,,,,,
section,1 Timothy,,,,,,,,,,
task,1~6,,,,,,12/14,,,,
,,,,,,,,,,,
section,2 Timothy,,,,,,,,,,
task,1~4,,,,,,12/15,,,,
,,,,,,,,,,,
section,Titus,,,,,,,,,,
task,1~3,,,,,,12/16,,,,
,,,,,,,,,,,
section,Philemon,,,,,,,,,,
task,1,,,,,,12/16,,,,
,,,,,,,,,,,
section,Hebrews,,,,,,,,,,
task,1~4,,,,,,12/17,,,,
task,5~8,,,,,,12/18,,,,
task,9~11,,,,,,12/19,,,,
task,12~13,,,,,,12/20,,,,
,,,,,,,,,,,
section,James,,,,,,,,,,
task,1~5,,,,,,12/21,,,,
,,,,,,,,,,,
section,1 Peter,,,,,,,,,,
task,1~5,,,,,,12/22,,,,
,,,,,,,,,,,
section,2 Peter,,,,,,,,,,
task,1~3,,,,,,12/23,,,,
,,,,,,,,,,,
section,1 John,,,,,,,,,,
task,1~5,,,,,,12/24,,,,
,,,,,,,,,,,
section,2 John,,,,,,,,,,
task,1,,,,,,12/25,,,,
,,,,,,,,,,,
section,3 John,,,,,,,,,,
task,1,,,,,,12/25,,,,
,,,,,,,,,,,
section,Jude,,,,,,,,,,
task,1,,,,,,12/25,,,,
,,,,,,,,,,,
section,Revelation,,,,,,,,,,
task,1~4,,,,,,12/26,,,,
task,5~8,,,,,,12/27,,,,
task,9~12,,,,,,12/28,,,,
task,13~16,,,,,,12/29,,,,
task,17~19,,,,,,12/30,,,,
task,20~22,,,,,,12/31,,,,
